PMT_ID,CircleNo,PositionNo,UpOrDown(0=Up 1=Down),PMTType,Channel(0-2),X,Y,Z,Theta,Phi,GCU,BECID,RMU_ID,RMU_2nd
142,57,39,0,2,2,-3303.85,1186.601,19114.31,10.4068,160.2439,5600,146.0,3,3.0-3.0
143,57,40,0,1,1,-3446.27,668.364,19114.31,10.4068,169.0244,5775,45.0,5,5.0-3.0
144,57,41,0,1,2,-3507.9,134.4609,19114.31,10.4068,177.8049,5775,45.0,5,5.0-3.0
145,56,1,0,2,0,-4031.63,-116.809,19010.86,11.9782,-178.3404,3286,45.0,5,5.0-3.0
146,56,2,0,2,1,-3967.82,-723.967,19010.86,11.9782,-169.6596,3286,45.0,5,5.0-3.0
147,56,3,0,2,2,-3835.92,-1246.37,19010.86,11.9782,-161.9999,3286,45.0,5,5.0-3.0
148,56,4,0,2,1,-3635.57,-1746.52,19010.86,11.9782,-154.3405,4122,45.0,5,5.0-3.0
149,56,5,0,2,2,-3330.32,-2275.23,19010.86,11.9782,-145.6596,4122,45.0,5,5.0-3.0
150,56,6,0,2,0,-2997.34,-2698.82,19010.86,11.9782,-138.0,4122,45.0,5,5.0-3.0
151,56,7,0,2,1,-2610.88,-3074.25,19010.86,11.9782,-130.3404,3042,45.0,5,5.0-3.0
152,56,8,0,2,2,-2116.98,-3433.09,19010.86,11.9782,-121.6596,3042,45.0,5,5.0-3.0
153,56,9,0,2,0,-1640.5,-3684.63,19010.86,11.9782,-114.0,3042,45.0,5,5.0-3.0
154,56,10,0,2,0,-1134.75,-3870.41,19010.86,11.9782,-106.3404,4109,45.0,5,5.0-3.0
155,56,11,0,2,1,-537.59,-3997.34,19010.86,11.9782,-97.6596,4109,45.0,5,5.0-3.0
156,56,12,0,2,2,0.0,-4033.33,19010.86,11.9782,-90.0,4109,45.0,5,5.0-3.0
157,56,13,0,2,1,537.5898,-3997.34,19010.86,11.9782,-82.3404,3270,45.0,5,5.0-3.0
158,56,14,0,2,2,1134.751,-3870.41,19010.86,11.9782,-73.6596,3270,45.0,5,5.0-3.0
159,56,15,0,2,0,1640.501,-3684.63,19010.86,11.9782,-66.0,3270,45.0,5,5.0-3.0
160,56,16,0,2,1,2116.977,-3433.09,19010.86,11.9782,-58.3404,5671,45.0,5,5.0-3.0
161,56,17,0,2,2,2610.883,-3074.25,19010.86,11.9782,-49.6596,5671,45.0,5,5.0-3.0
162,56,18,0,2,0,2997.345,-2698.82,19010.86,11.9782,-42.0,5671,45.0,5,5.0-3.0
163,56,19,0,2,0,3330.319,-2275.23,19010.86,11.9782,-34.3404,6267,45.0,5,5.0-3.0
164,56,20,0,2,1,3635.57,-1746.52,19010.86,11.9782,-25.6595,6267,45.0,5,5.0-3.0
165,56,21,0,2,2,3835.92,-1246.37,19010.86,11.9782,-18.0001,6267,45.0,5,5.0-3.0
166,56,22,0,2,1,3967.819,-723.967,19010.86,11.9782,-10.3404,5875,146.0,3,3.0-3.0
167,56,23,0,2,2,4031.634,-116.809,19010.86,11.9782,-1.6596,5875,146.0,3,3.0-3.0
168,56,24,0,2,0,4011.23,421.5973,19010.86,11.9782,6.0,5875,146.0,3,3.0-3.0
169,56,25,0,2,1,3919.247,952.4804,19010.86,11.9782,13.6596,5794,146.0,3,3.0-3.0
170,56,26,0,2,2,3730.591,1533.103,19010.86,11.9782,22.3404,5794,146.0,3,3.0-3.0
171,56,27,0,2,0,3492.962,2016.663,19010.86,11.9782,30.0,5794,146.0,3,3.0-3.0
172,56,28,0,2,0,3193.001,2464.235,19010.86,11.9782,37.6596,6411,146.0,3,3.0-3.0
173,56,29,0,2,1,2784.496,2917.927,19010.86,11.9782,46.3404,6411,146.0,3,3.0-3.0
174,56,30,0,2,2,2370.729,3263.029,19010.86,11.9782,54.0,6411,146.0,3,3.0-3.0
175,56,31,0,2,0,1914.657,3549.902,19010.86,11.9782,61.6596,4694,146.0,3,3.0-3.0
176,56,32,0,2,1,1356.935,3798.215,19010.86,11.9782,70.3404,4694,146.0,3,3.0-3.0
177,56,33,0,2,2,838.5755,3945.188,19010.86,11.9782,78.0,4694,146.0,3,3.0-3.0
178,56,34,0,2,1,305.2511,4021.758,19010.86,11.9782,85.6596,3944,146.0,3,3.0-3.0
179,56,35,0,2,2,-305.251,4021.758,19010.86,11.9782,94.3404,3944,146.0,3,3.0-3.0
180,56,36,0,2,0,-838.576,3945.188,19010.86,11.9782,102.0,3944,146.0,3,3.0-3.0
181,56,37,0,2,0,-1356.94,3798.215,19010.86,11.9782,109.6596,4718,146.0,3,3.0-3.0
182,56,38,0,2,1,-1914.66,3549.902,19010.86,11.9782,118.3405,4718,146.0,3,3.0-3.0
183,56,39,0,2,2,-2370.73,3263.029,19010.86,11.9782,126.0,4718,146.0,3,3.0-3.0
184,56,40,0,2,1,-2784.5,2917.927,19010.86,11.9782,133.6596,5171,146.0,3,3.0-3.0
185,56,41,0,2,2,-3193.0,2464.235,19010.86,11.9782,142.3404,5171,146.0,3,3.0-3.0
186,56,42,0,2,0,-3492.96,2016.663,19010.86,11.9782,150.0,5171,146.0,3,3.0-3.0
187,56,43,0,2,1,-3730.59,1533.103,19010.86,11.9782,157.6596,5345,146.0,3,3.0-3.0
188,56,44,0,2,2,-3919.25,952.4803,19010.86,11.9782,166.3404,5345,146.0,3,3.0-3.0
189,56,45,0,2,0,-4011.23,421.5973,19010.86,11.9782,174.0,5345,146.0,3,3.0-3.0
190,55,1,0,2,0,-4535.15,-404.3,18893.1,13.5496,-174.9057,2952,45.0,5,5.0-3.0
191,55,2,0,1,2,-4455.5,-937.849,18893.1,13.5496,-168.1132,3116,45.0,5,5.0-3.0
192,55,3,0,2,1,-4313.31,-1458.23,18893.1,13.5496,-161.3208,3116,45.0,5,5.0-3.0
193,55,4,0,2,0,-4110.56,-1958.15,18893.1,13.5496,-154.5282,3116,45.0,5,5.0-3.0
194,55,5,0,2,0,-3850.12,-2430.57,18893.1,13.5496,-147.7359,6165,45.0,5,5.0-3.0
195,55,6,0,2,1,-3535.62,-2868.88,18893.1,13.5496,-140.9434,6165,45.0,5,5.0-3.0
196,55,7,0,2,2,-3171.49,-3266.91,18893.1,13.5496,-134.1509,6165,45.0,5,5.0-3.0
197,55,8,0,2,2,-2762.84,-3619.08,18893.1,13.5496,-127.3585,6399,45.0,5,5.0-3.0
198,55,9,0,1,1,-2315.41,-3920.45,18893.1,13.5496,-120.566,6399,45.0,5,5.0-3.0
199,55,10,0,2,0,-1835.48,-4166.78,18893.1,13.5496,-113.7736,6399,45.0,5,5.0-3.0
200,55,11,0,1,2,-1329.77,-4354.63,18893.1,13.5496,-106.9811,5087,45.0,5,5.0-3.0
201,55,12,0,2,1,-805.406,-4481.34,18893.1,13.5496,-100.1887,5087,45.0,5,5.0-3.0
202,55,13,0,2,0,-269.731,-4545.14,18893.1,13.5496,-93.3962,5087,45.0,5,5.0-3.0
203,55,14,0,2,0,269.7306,-4545.14,18893.1,13.5496,-86.6038,5868,45.0,5,5.0-3.0
204,55,15,0,2,1,805.4056,-4481.34,18893.1,13.5496,-79.8113,5868,45.0,5,5.0-3.0
205,55,16,0,1,2,1329.775,-4354.63,18893.1,13.5496,-73.0189,5868,45.0,5,5.0-3.0
206,55,17,0,2,0,1835.476,-4166.78,18893.1,13.5496,-66.2264,6536,45.0,5,5.0-3.0
207,55,18,0,1,1,2315.412,-3920.45,18893.1,13.5496,-59.434,6536,45.0,5,5.0-3.0
208,55,19,0,2,2,2762.844,-3619.08,18893.1,13.5496,-52.6415,6536,45.0,5,5.0-3.0
209,55,20,0,2,2,3171.493,-3266.91,18893.1,13.5496,-45.8491,5849,45.0,5,5.0-3.0
210,55,21,0,2,1,3535.62,-2868.88,18893.1,13.5496,-39.0566,5849,45.0,5,5.0-3.0
211,55,22,0,2,0,3850.115,-2430.57,18893.1,13.5496,-32.2641,5849,45.0,5,5.0-3.0
212,55,23,0,2,0,4110.563,-1958.15,18893.1,13.5496,-25.4717,6497,45.0,5,5.0-3.0
213,55,24,0,2,1,4313.308,-1458.23,18893.1,13.5496,-18.6792,6497,45.0,5,5.0-3.0
214,55,25,0,1,2,4455.503,-937.849,18893.1,13.5496,-11.8868,6497,45.0,5,5.0-3.0
215,55,26,0,2,0,4535.152,-404.3,18893.1,13.5496,-5.0943,4443,146.0,3,3.0-3.0
216,55,27,0,2,1,4551.138,134.9242,18893.1,13.5496,1.6981,4443,146.0,3,3.0-3.0
217,55,28,0,2,2,4503.236,672.2548,18893.1,13.5496,8.4906,4443,146.0,3,3.0-3.0
218,55,29,0,2,2,4392.119,1200.148,18893.1,13.5496,15.283,1137,146.0,3,3.0-3.0
219,55,30,0,2,1,4219.346,1711.194,18893.1,13.5496,22.0755,1137,146.0,3,3.0-3.0
220,55,31,0,2,0,3987.342,2198.219,18893.1,13.5496,28.8679,1137,146.0,3,3.0-3.0
221,55,32,0,1,2,3699.365,2654.386,18893.1,13.5496,35.6604,4176,146.0,3,3.0-3.0
222,55,33,0,2,1,3359.457,3073.29,18893.1,13.5496,42.4528,4176,146.0,3,3.0-3.0
223,55,34,0,1,0,2972.389,3449.053,18893.1,13.5496,49.2453,4176,146.0,3,3.0-3.0
224,55,35,0,2,0,2543.596,3776.398,18893.1,13.5496,56.0377,3128,146.0,3,3.0-3.0
225,55,36,0,2,1,2079.096,4050.731,18893.1,13.5496,62.8302,3128,146.0,3,3.0-3.0
226,55,37,0,2,2,1585.41,4268.201,18893.1,13.5496,69.6226,3128,146.0,3,3.0-3.0
227,55,38,0,2,2,1069.468,4425.754,18893.1,13.5496,76.4151,5211,146.0,3,3.0-3.0
228,55,39,0,1,1,538.5138,4521.18,18893.1,13.5496,83.2076,5211,146.0,3,3.0-3.0
229,55,40,0,2,0,0.0,4553.138,18893.1,13.5496,90.0,5211,146.0,3,3.0-3.0
230,55,41,0,1,2,-538.514,4521.18,18893.1,13.5496,96.7925,3421,146.0,3,3.0-3.0
231,55,42,0,2,1,-1069.47,4425.754,18893.1,13.5496,103.5849,3421,146.0,3,3.0-3.0
232,55,43,0,2,2,-1585.41,4268.201,18893.1,13.5496,110.3774,5459,146.0,3,3.0-3.0
233,55,44,0,2,1,-2079.1,4050.732,18893.1,13.5496,117.1699,5459,146.0,3,3.0-3.0
234,55,45,0,2,0,-2543.6,3776.399,18893.1,13.5496,123.9623,5459,146.0,3,3.0-3.0
235,55,46,0,1,2,-2972.39,3449.053,18893.1,13.5496,130.7547,5113,146.0,3,3.0-3.0
236,55,47,0,2,1,-3359.46,3073.291,18893.1,13.5496,137.5472,5113,146.0,3,3.0-3.0
237,55,48,0,1,0,-3699.36,2654.386,18893.1,13.5496,144.3396,5113,146.0,3,3.0-3.0
238,55,49,0,2,0,-3987.34,2198.219,18893.1,13.5496,151.1321,4411,146.0,3,3.0-3.0
239,55,50,0,2,1,-4219.35,1711.195,18893.1,13.5496,157.9245,4411,146.0,3,3.0-3.0
240,55,51,0,2,2,-4392.12,1200.149,18893.1,13.5496,164.717,4411,146.0,3,3.0-3.0
241,55,52,0,2,2,-4503.24,672.2551,18893.1,13.5496,171.5094,2952,45.0,5,5.0-3.0
242,55,53,0,2,1,-4551.14,134.9244,18893.1,13.5496,178.3019,2952,45.0,5,5.0-3.0
243,54,1,0,1,2,-5067.73,-134.953,18761.14,15.121,-178.4746,3789,45.0,5,5.0-3.0
244,54,2,0,2,1,-5024.67,-672.856,18761.14,15.121,-172.3729,3789,45.0,5,5.0-3.0
245,54,3,0,1,0,-4924.69,-1203.13,18761.14,15.121,-166.2712,3789,45.0,5,5.0-3.0
